a bientot,see you soon
éclairs,éclairs
éclatent,burst (3rd plural)
école,school
écoute,listens
écouter,to listen
écrire,to write
église,church
élégant,elegant
élégante,elegant (fem.)
épicerie,grocery store
étage,floor/storey
étagère,shelf
étagères,shelves
était,was
étendent,extend (3rd plural)
étudiant,student
étudiante,female student
été,"summer, been"
êtes,are (2nd plural)
être,to be
île,island
œuf,egg
