abadi,eternal
nyalakan,"turn on, light"
nyaman,comfortable
nyamuk,mosquito
nyaring,loud
nyata,"real, actual"
nyeri,pain
nyonya,"Mrs., madam"
obat,"medicine, drug"
objek,object
odalan,"Balinese temple anniversary"
ogah,reluctant
olahraga,sport
oleh,by
operasi,operation
opini,opinion
orang,"person, people"
oranye,orange
otak,brain
otomatis,automatic
otot,muscle
pabrik,factory
pacar,boyfriend/girlfriend
pada,"at, on, to"
padamkan,"extinguish, put out"
padi,rice plant
padmasana,stone shrine for the supreme god
pagi,morning
pahala,"merit, reward"
pahit,bitter
pajak,tax
pak,"sir, Mr."
pakai,"wear, use"
pakaian,clothing
paket,package
paksa,"force, compel"
paling,most (superlative)
paman,uncle
panas,hot
panci,pot
pandai,"clever, skilled"
pandan,pandanus (leaf/plant)
panduan,"guide, walkthrough"
panggang,roasted
panggilan,call
panggung,stage
pangkat,"rank, grade"
panik,panic
panjang,long
panjat,climb
pantai,"beach, coast"
para,the (plural marker)
partai,party (political)
paruh,"half, beak"
pasang,pair; install; tide
pasar,market
pasien,patient
pasir,sand
pasukan,troops
patah,"broken, fractured"
patuh,obedient
patung,statue
pawang,handler
payung,umbrella
pe,(prefix: doer/noun)
pecahkan,"break, shatter"
pedagang,merchant
pedagang-pedagang,merchants
pedas,spicy
pedesaan,rural
pegawai,staff
pejalan kaki,pedestrian
pekan,week
pekerja,worker
pekerjaan,job
pelabuhan,"port, harbor"
pelacur,prostitute
pelajaran,lesson
pelajari,"to study, learn"
pelan,slowly
pelanggan,customer
pelanggannya,its customers
pelatihan,training
pelayan,"waiter, servant"
pelemahan,weakening
pelepasan,release
peluang,"opportunity, chance"
peluk,"hug, embrace"
pemain,player
pemandangan,view
pemangku,Balinese temple priest
pembangunan,development
pembantu,assistant
pembayaran,payment
pembelian,purchase
pemberian,gift
pembicaraan,conversation
pemerintah,government
pemikiran,thought
pemilihan,election
pemilik,owner
pemuda,young man
pena,pen
penampilan,appearance
penawaran,offer
pencatatan,"recording, logging"
pencipta,creator
pendapatan,income
pendek,short
pendeta,priest
pendidikan,education
penduduk,"inhabitants, residents"
penelitian,research
penerbangan,flight
pengacara,lawyer
pengadilan,court (of law)
pengalaman,experience
pengantin,bride/groom
pengaruh,influence
pengetahuan,knowledge
penghasilan,earnings
penghitung,"counter, timer"
pengiriman,delivery
pengobatan,treatment
pengumuman,announcement
penilaian,assessment
penjara,prison
penjual,seller
penjualan,sales
pensil,pencil
pensiunan,retiree
penting,important
penuh,full
penyakit,disease
penyanyi,singer
penyesalan,regret
pepaya,papaya
per,per
peradaban,civilization
perahu,boat
perak,silver
peralatan,"equipment, tools"
peran,role
perang,war
perasaan,feeling
perawat,nurse
perbaiki,"fix, repair"
perban,bandage
perbuatan,act
percaya,believe
perdagangan,"trade, commerce"
perempuan,female
pergi,go
perguruan,educational institution
peri,fairy
periksa,"examine, check"
peringkat,"rank, rating"
perintah,"command, order"
perjalanan,"journey, trip"
perjanjian,"agreement, contract"
perjuangan,struggle
perkara,"case, matter"
perkawinan,marriage
perkembangan,development
perlengkapan,equipment
perlindungan,protection
perlu,"need, necessary"
permainan,game
permen,"candy, sweets"
permintaan,request
permisi,excuse me
permukaannya,its surface
pernah,ever
pernikahan,wedding
perpustakaan,library
persaingan,competition
persembahan,offering
persen,percent
persetujuan,approval
persimpangan,crossroads
pertama,first
pertandingan,match (sports)
pertanyaan,question
pertemuan,meeting
pertolongan,"help, rescue"
pertumbuhan,growth
perubahan,change
perusahaan,company
perut,"stomach, belly"
pesan,"message, order"
pesanan,order (purchase)
pesawat,airplane
peserta,participant
peta,map
petani,farmer
petik,"pick, pluck"
petir,lightening
petunjuk,"hint, clue"
piala,"trophy, cup"
pikir,"think, thought"
pikiran,mind
pilih,choose
pilot,pilot
pimpinan,leadership
pindah,move
pinggang,waist
pinggir,edge
pinjam,borrow
pink,pink
pintar,smart
pintu,door
pipa,pipe
piring,plate
pisang,banana
pisau,knife
plastik,plastic
pohon,tree
pokok,"main, basic"
pola,pattern
polisi,police
pompa bensin,gas station
pompa,pump
pondok,"hut, cottage"
pos,post
pot,pot
potensi,potential
potong,"cut, piece"
potongan,"piece, slice"
prajurit,soldier
prakarsa,initiative
praktik,practice
presiden,president
pria,"man, male"
profesi,profession
proses,process
proyek,project
puas,satisfied
puisi,poetry
pukul,"hit, strike"
pulang,"go home, return"
pulau,island
pulihkan,restore
puluh,tens (multiplier)
pun,also
puncak,"peak, summit"
punggung,back (body)
punya,"have, own"
pura,Balinese Hindu temple
pura-pura,pretend
pusaka,heirloom
pusing,dizzy
putar,"turn, rotate, spin"
putih,white
putus,"broken, severed"
raba,"feel, grope"
racun,poison
radio,radio
rahasia,secret
raih,"reach, achieve"
raja,king
rak,shelf
rakyat,"people, populace"
ramah,friendly
ramai,"crowded, busy"
rambat,spread
rambut,hair
rambutan,rambutan
rampas,seize
rancang,"design, plan"
rantai,chain
rapat,"meeting, close together"
rasa,"taste, feeling"
rata,flat
ratu,queen
ratus,hundred
rawan,"vulnerable, prone"
rawat,"treat, care for"
raya,"great, grand"
reaksi,reaction
rebus,boiled
rebutan,fight over
rekan,colleague
rela,willing
rencana,plan
rendah,low
renyah,crunchy
resep,recipe
resmi,"official, formal"
respon,response
restoran,restaurant
retak,"crack, cracked"
ribu,thousand
rindu,"miss, longing"
ringan,light (weight)
rintik,droplet
riwayat,"history, record"
rob,tidal flood
robek,torn
roh-roh,spirits
rohani,"spiritual, soul"
roma,pore
romantis,romantic
rombongan,group
rotan,rattan
roti,bread
ruang,"room, space"
ruangan,room (space)
rudal,missile
rukun,harmonious
rumah sakit,hospital
rumah,house
rumahmu,your house
runtuh,collapse
rupiah,"rupiah (Indonesian currency)"
rusak,"broken, damaged"
rutin,routine
saat,"moment, when"
sabuk,belt
sabun,soap
sadar,"aware, conscious"
sah,"legal, valid"
sahabat,best friend
saja,"only, just"
sakit,sick
saksi,witness
sakumu,your pocket
salah,"wrong, mistake"
salam,"greeting, peace"
saldo,balance (account)
saling,"mutual, each other"
salju,snow
saluran,"channel, irrigation"
sama sama,you're welcome
sama,same
sambal,chili sauce
sambil,while
sambung,connect
sambutan,welcome
sampah,garbage
sampai jumpa,goodbye
sampai,"until, arrive"
samping,side
sana,there (far)
sandal,sandals
sang,the (literary)
sangat,very
sangsi,"doubt, sanction"
santai,"relaxed, easy-going"
santan,coconut milk
santap,eat (formal)
santunan,compensation
sapi,cow
sapu,broom
sara,sensitive/taboo topic
saran,"suggestion, advice"
sari,essence
sarung,sarong
sastra,literature
satu,one
sawah,rice field
saya,"I, me (formal)"
sayang,"dear, love, pity"
sayangnya,unfortunately
sayur,vegetable
sayur-sayuran,vegetables (various)
sayuran,vegetables
se,one/each
sebatang,a (long object classifier)
sebelah,"beside, next to"
sebelahnya,beside it
sebelum,before
sebentar,"a moment, briefly"
sebuah,"a, an (object classifier)"
sebungkus,a package of
sedang,"currently, in the process of"
sedap,"tasty, savory"
sederhana,simple
sedih,sad
sedikit,"few, a little"
seekor,a (animal classifier)
segan,reluctant
segar,fresh
segehan,"ground offering (Balinese, for lower spirits)"
segel,seal
segera,"immediately, soon"
segitiga,triangle
sehari-hari,daily
sehat,healthy
seimbang,balanced
sejak,since
sejarah,history
sejuk,"cool, refreshing"
sekali,very; once
sekarang,now
sekeliling,"around, surroundings"
sekerat,a slice of
sekitar,"around, approximately"
sekolah,school
selalu,always
selam,dive
selama,during
selamat malam,good night
selamat pagi,good morning
selamat siang,good afternoon
selamat sore,good evening
selamat,"congratulations, safe"
selatan,south
seleksi,selection
selendang,sash
selesai,finish
selimut,blanket
seluruh,"entire, whole"
semangat,"spirit, enthusiasm"
semangka,watermelon
sembilan,nine
semen,cement
sementara,"while, meanwhile"
semoga,hopefully
sempat,have time to
sempit,"narrow, tight"
semua,all
semut,ant
senang,happy
sendok,spoon
seng,zinc
sengaja,deliberately
seni,art
seniman,artist
senjata,weapon
sentuh,touch
sentuhan,touch
sepak bola,football
sepasang,a pair of
sepatu,shoes
sepeda,bicycle
seperti,"like, as"
sepi,quiet
sepuluh,ten
sepupu,cousin
serang,attack
serangan,attack
sering,often
serius,serious
seru,"exciting, fun"
sesajen,offering
sesama,fellow
sesuatu,something
sesudah,after
set,set
setia,"faithful, loyal"
setiap,every
setidaknya,at least
setuju,agree
sewa,rent
si,the (person marker)
siang,"afternoon, daytime"
siap,ready
siapa,who
siaran,"broadcast, show"
sih,(emphasis particle)
sikap,attitude
siksa,torture
silakan,"please, go ahead"
silau,glare
simpan,"save, store, keep"
simpang,intersection
singgasana,throne
singkat,"brief, short"
singkong,cassava
sini,here
sintesis,synthesis
sisik,fish scales
sisinya,its side
siswa,student (school)
situ,there
situasi,situation
skor,score
soda,soda
solar,diesel
sopan,polite
sopir,driver
sore,late afternoon
spesifik,specific
stan,"stand, booth"
stasiun,station
suami,husband
suara,"voice, sound"
subur,fertile
sudah,already
sudut,corner
suhu,temperature
suka cita,joy
suka,like
suku,"tribe, ethnic group"
sulit,difficult
sumbangan,contribution
sumber,source
sumur,well (water)
sungai,river
sungkan,"reluctant, shy"
suntik,inject
sunyi,"silent, quiet"
surat kabar,newspaper
surat,letter
surga,heaven
suruh,"order, tell someone to do"
surut,low tide
susah,"difficult, troubled"
susu,milk
susunan,"arrangement, structure"
sutra,silk
swastiastu,"Om Swastiastu (Balinese greeting)"
syarat,"condition, requirement"
tabung,"tube, savings"
tadi,"earlier, just now"
tahu,"know, tofu"
tahun,year
tajam,sharp
tak,"not, no"
takdir,"destiny, fate"
takhta,throne
takut,afraid
taman,"park, garden"
tambah,add
tambak,fish pond
tambang,mine; rope
tampak,appear
tampan,handsome
tampilan,"display, view"
tamu,guest
tanah,"land, soil"
tanaman,plant
tandatangan,signature
tangan,hand
tangga,"stairs, ladder"
tanggung jawab,responsibility
tangkap,catch
tanjung,cape
tanpa,without
tantangan,challenge
tanya,ask
tapi,but
tarif,rate
tarik,"pull, tug"
taruh,"put, place"
tas,bag
tata,"order, arrangement"
tawar,to bargain
tawar-menawar,bargaining
tawaran,offer
tebal,thick
tegar,"firm, strong"
tegur,reprimand
teh,tea
tekan,"press, push"
tekanan,pressure
teknik,technique
teladan,example
telepon,telephone
televisi,television
telinga,ear
telinganya,its ears
telur,egg
teman sejawat,colleague
teman,friend
tembaga,copper
tempat,"place, seat"
tempe,tempeh
tenang,"calm, quiet"
tenda,tent
tendang,kick
tengah,"middle, center"
tenggara,southeast
tenggelam,sink
tentang,about
tentara,soldier
tentu,"certain, of course"
tepat,"exact, right"
tepi,"edge, bank"
tepuk,clap
ter,(prefix: superlative/accidental)
terakhir,"last, final"
terang,bright
terapi,therapy
terasa,"feels, is felt"
teratai,lotus
terbang,fly (verb)
terbuat,made of
terbuka,open
terdengar,to be heard
tergantung,hanging
tergeletak,lying (on a surface)
terhadap,"toward, against"
terhindar,avoided
teriak,"yell, scream"
terikat,bound
terima kasih,thank you
terima,receive
terinspirasi,inspired
terjadi,happen
terkejut,"shocked, startled"
terkini,latest
terlalu,too (excessive)
terlambat,late
terletak,"located, situated"
terlihat,to be visible
termasuk,including
ternyata,"it turns out, apparently"
terong,eggplant
terpal,tarpaulin
tersedia,available
tersenyum,to smile
tersulut,lit (ignited)
tersusun,arranged
tertarik,interested
tertata,organised
tertiup,blown by
tertulis,written
tertutup,closed
terus,"continue, keep on"
tetangga,neighbor
tetap,"remain, still"
tewas,"killed, perish"
tiang,"pole, pillar"
tiang-tiang,"pillars, poles"
tiba,arrive
tidak,not
tidur,sleep
tiga,three
tikar,mat
tikus,mouse
tim,team
timah,tin
timur,east
timurlaut,northeast
tindakan,"action, measure"
tinggal,"live, stay"
tinggi,"tall, high"
tipis,thin
titik,"point, dot"
tiup,blow
toko,"shop, store"
toleransi,tolerance
tolong,please help
tomat,tomato
tombol,button (on device)
tong,"barrel, drum"
topi,hat
topik,topic
tradisi,tradition
transkrip,transcript
tren,trend
tropis,tropical
tua,old (people)
tuan,"sir, Mr., master"
tuang,pour
tugas,"task, duty"
tuh,(that there)
tujuan,"goal, purpose"
tujuh,seven
tukang,craftsman
tukar,"exchange, swap"
tulang,bone
tulis,write
tulus,sincere
tumbuh,grow
tumit,heel
tumpah,spill
tumpul,blunt
tunda,postpone
tunggu,wait
tunjukkan,show
tuntut,"demand, sue"
turun,"go down, descend"
turut,"join, follow"
tutup,closed
uang,money
udah,already (informal)
udara,air
udeng,Balinese headcloth
uji,"test, examine"
ujian,"exam, test"
ujung,"end, tip"
ukiran,carving
ukuran,"size, measure"
ulangi,repeat
ular,snake
umpan,"bait, feed"
umur,age
undang,invite
undian,lottery
ungkap,express
ungu,purple
unik,unique
universitas,university
untuk,"for, in order to"
untung,"lucky, profit"
upacara,ceremony
urai,"unravel, elaborate"
urgensi,urgency
urusan,"matter, affair"
usaha,"effort, business"
usir,"drive away, expel"
utama,"main, primary"
utara,north
utuh,"whole, intact"
vaksin,vaccine
variasi,variation
versi,version
visi,vision
wacana,discourse
wadah,container
wah,wow
wajah,face
wajan,frying pan
wajib,"obligatory, must"
wakil,"deputy, representative"
waktu,time
wangi,fragrant
wanita,"woman, female"
warga,"citizen, resident"
warisan,"inheritance, heritage"
warna,color
warna-warni,multicoloured
wartawan,journalist
warung,"food stall, eatery"
waspada,alert
wisata,"tour, tourism"
wisatawan,tourist
wortel,carrot
ya,"yes, right"
yakin,certain
yang,"which, that, who"
yayasan,foundation
yuk,let's go
zaman,"age, era"
zona,zone
